lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
RecoveryPerformance,~,GovCapacity,-0.11238834240794071,-0.13847767624658713,0.03356854406608191,-3.3480255260206926,0.0008138951452940635
RecoveryPerformance,~,state_level,-0.08617162838277015,-0.024656871356932463,0.19818348114548953,-0.4348073203895103,0.663702290918808
RecoveryPerformance,~,z_E_TOTPOP,-0.0158172621065676,-0.020318847022254848,0.04451238826012622,-0.3553451684905708,0.7223310209516454
RecoveryPerformance,~,z_SPL_THEME1,0.00899080477124011,0.011549583330096895,0.05243885005046138,0.1714531261157881,0.8638674845546195
RecoveryPerformance,~,z_SPL_THEME2,0.03971919130062081,0.05102325335747506,0.044063418980313046,0.9014096549672055,0.36737054982280837
RecoveryPerformance,~,z_SPL_THEME3,-0.18314115656182875,-0.23526303848208358,0.04110510924764043,-4.455435343913755,8.372312592541675e-06
RecoveryPerformance,~,z_SPL_THEME4,-0.02291193183721962,-0.029432656223828596,0.04808336794745873,-0.476504305226274,0.6337151409255561
RecoveryTimeliness,~,GovCapacity,0.10466680049003661,0.18347574081738338,0.026088279756785255,4.0120238460261834,6.020041732113235e-05
RecoveryTimeliness,~,state_level,-0.14390589511468554,-0.05858190021265735,0.13471625571426674,-1.0682147774270228,0.28542364040619894
RecoveryTimeliness,~,z_E_TOTPOP,0.009614595083514383,0.017571544960324596,0.029992048750964933,0.3205714675588636,0.7485351628857178
RecoveryTimeliness,~,z_SPL_THEME1,-0.105467883832095,-0.19275212804370548,0.03788675769201921,-2.7837664200947945,0.005373171387688558
RecoveryTimeliness,~,z_SPL_THEME2,-0.09364615136002251,-0.17114683922627758,0.03204657312790714,-2.9221892457371794,0.003475802768900804
RecoveryTimeliness,~,z_SPL_THEME3,-0.03558277029368323,-0.06503074155462127,0.02724050165881365,-1.3062450441643831,0.19146923919909065
RecoveryTimeliness,~,z_SPL_THEME4,0.003966697694311718,0.0072494999814528465,0.03236911797015594,0.12254574554198343,0.9024668192692937
